"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"713,250","-6,675","6,202","-","266.50","-198.25","75","264.10","266.90","75","12600.00","150","5.95","6.00","1,125","-0.20","6.00","43.22","290,601","-396,600","2,565,825","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"30,675","2,175","738","-","216.20","-207.40","600","215.75","222.05","75","12650.00","150","9.20","9.60","75","2.05","9.20","40.63","132,021","-30,450","666,075","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"620,550","-152,775","13,831","-","175.00","-194.75","300","173.55","175.00","75","12700.00","450","15.60","15.95","1,650","7.05","15.75","38.16","514,296","-433,350","2,869,050","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"64,650","-15,900","3,571","-","132.75","-191.30","75","132.05","134.00","75","12750.00","75","24.90","25.25","75","14.05","24.85","35.58","236,677","-4,875","893,625","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,102,125","104,700","84,760","23.06","97.00","-178.20","150","96.00","97.00","2,550","12800.00","900","38.00","38.95","75","24.45","38.50","33.36","874,739","-267,975","4,150,650","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"501,600","261,375","72,752","23.08","64.95","-166.70","75","64.85","65.60","150","12850.00","1,050","55.60","56.85","225","37.40","55.75","31.03","397,109","-214,875","1,218,525","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"3,338,925","1,929,075","446,965","24.65","41.00","-145.15","150","40.05","40.25","75","12900.00","75","80.40","82.30","825","57.05","82.25","29.37","1,048,572","-1,147,275","2,251,350","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,175,925","738,750","240,000","24.37","24.50","-122.75","150","24.35","24.65","150","12950.00","1,125","115.50","116.95","75","82.10","116.75","28.00","468,536","-584,250","486,675","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"4,740,375","2,000,775","1,103,581","24.52","15.00","-96.30","375","14.70","15.00","4,350","13000.00","2,175","155.00","156.10","75","105.85","155.00","27.14","1,221,849","-1,579,425","2,132,100","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,547,775","741,525","509,781","24.21","9.50","-71.20","75","8.75","9.15","75","13050.00","150","197.60","201.45","75","132.05","200.00","26.29","289,871","-388,200","258,600","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"3,817,500","1,878,750","1,123,721","23.91","6.10","-49.75","150","6.00","6.10","150","13100.00","150","245.15","249.00","150","152.85","245.35","25.71","542,862","75,075","713,175","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"2,009,325","903,375","556,989","23.67","4.50","-31.50","150","4.45","4.50","225","13150.00","450","294.05","299.75","1,050","172.30","294.50","25.59","102,456","42,525","108,300","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"3,851,475","863,700","951,845","23.39","3.70","-18.35","225","3.55","3.70","375","13200.00","150","343.50","346.00","150","185.75","345.40","25.53","109,233","-14,700","179,175","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,231,500","-172,125","342,363","23.00","3.30","-9.40","75","3.05","3.30","1,125","13250.00","1,050","390.70","397.15","75","200.15","395.45","25.63","4,931","8,700","16,500","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"2,713,500","257,175","530,670","22.53","2.80","-4.20","1,125","2.80","2.90","3,000","13300.00","150","439.50","446.40","375","208.80","449.55","25.51","13,960","-5,325","27,675","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"664,350","13,950","152,319","22.64","2.45","-1.40","2,700","2.45","2.80","3,000","13350.00","375","474.15","498.45","300","203.85","495.85","30.26","526","-8,175","5,925","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"2,484,975","344,100","287,614","23.13","2.35","-0.10","1,050","2.35","2.55","5,850","13400.00","75","537.50","546.10","1,350","201.55","543.60","29.71","738","2,250","10,650","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"262,050","41,325","41,101","24.25","2.15","0.35","1,050","2.15","2.45","75","13450.00","300","588.60","596.70","75","184.65","595.75","-","33","975","1,125","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"5,055,075","1,648,950","214,604","26.40","2.20","0.70","750","2.15","2.20","75","13500.00","300","640.80","644.35","75","203.70","644.05","38.23","2,564","-20,325","77,175","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"90,225","45,525","6,058","28.49","1.00","-0.40","150","1.00","2.25","75","13550.00","525","670.60","698.60","75","205.90","699.40","45.01","13","-","450","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"902,250","264,225","39,882","30.63","1.95","0.75","75","1.95","2.10","1,500","13600.00","300","740.10","745.20","300","212.45","740.55","45.22","54","900","2,100","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"21,525","-9,075","1,492","32.76","2.00","0.85","75","1.80","2.00","225","13650.00","75","781.80","856.15","150","6.50","800.55","-","6","75","150","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,263,975","-123,000","27,577","35.20","1.90","0.90","75","1.70","1.85","75","13700.00","75","831.05","847.40","75","204.80","848.80","52.13","29","-450","6,000","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"13,425","1,425","174","34.99","1.75","0.80","75","1.60","2.00","75","13750.00","225","871.20","986.05","4,875","-127.95","717.50","-","1","75","225","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"474,825","145,500","13,773","38.93","1.45","0.65","900","1.45","1.80","900","13800.00","300","936.65","945.10","225","-","-","-","-","-","1,125","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"21,825","-3,075","1,490","42.70","1.65","0.70","75","1.10","1.65","675","13850.00","75","968.00","1,098.15","4,875","23.00","956.75","-","2","75","225","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"247,050","65,100","11,537","42.25","1.40","0.80","3,150","1.35","1.70","600","13900.00","75","1,027.95","1,049.45","75","205.00","1,043.75","-","52","-2,625","1,800","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"44,025","150","624","-","1.60","1.05","75","0.65","1.55","75","13950.00","75","1,075.15","1,102.80","75","168.95","1,104.00","-","4","75","150","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,130,625","388,425","42,973","47.92","1.30","0.70","1,200","1.40","1.50","75","14000.00","75","1,132.20","1,146.00","150","209.65","1,148.90","-","110","-3,225","15,450","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"10,350","6,150","1,331","45.94","1.40","0.85","225","1.40","1.85","75","14050.00","75","1,160.35","1,249.90","75","-260.00","1,155.85","-","2","75","75","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"37,950","21,525","1,804","52.13","1.60","0.90","75","1.30","2.05","375","14100.00","75","1,195.85","1,300.15","75","-219.55","1,243.85","-","2","75","75","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
